hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,reservation_status
Resort Hotel,1,2017,June,2,0,2,1,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,January,11,1,0,1,0,0,BB,PRT,Corporate,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,May,25,2,5,2,2,0,BB,GBR,TA/TO,0,0,0,A,C,No Deposit,0,Transient-Party,1,Check-Out
Resort Hotel,1,2017,June,28,2,7,2,1,0,BB,PRT,TA/TO,0,0,0,F,F,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,October,19,0,1,1,0,0,BB,PRT,Corporate,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,August,12,2,2,2,0,0,SC,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2015,September,17,0,2,1,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,January,9,2,2,2,0,0,HB,GBR,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,January,8,2,2,2,0,0,BB,GBR,Direct,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,February,21,0,1,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,August,28,2,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,March,18,0,1,2,0,0,BB,PRT,Direct,0,0,1,A,F,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,26,2,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,May,26,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,1,2016,September,7,0,3,1,0,0,BB,PRT,TA/TO,0,0,0,D,D,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,April,8,2,2,3,1,0,BB,ITA,TA/TO,0,0,0,E,E,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2015,December,27,2,0,2,0,0,HB,PRT,TA/TO,0,1,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2016,July,26,2,5,2,0,0,BB,USA,Direct,0,0,0,E,E,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,April,20,0,4,2,0,0,BB,AUT,TA/TO,0,0,0,A,A,No Deposit,176,Transient-Party,0,Check-Out
Resort Hotel,1,2017,March,14,0,5,1,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2015,November,1,4,5,2,0,0,BB,GBR,TA/TO,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,May,31,0,3,2,0,0,BB,ITA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,September,17,0,2,2,0,0,HB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,July,6,0,3,1,0,0,SC,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,January,22,2,3,1,0,0,SC,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,February,7,0,4,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,June,23,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,August,17,0,1,2,2,0,BB,PRT,Direct,0,0,0,C,C,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,17,1,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,D,No Deposit,108,Transient-Party,0,Check-Out
Resort Hotel,1,2017,June,28,0,4,2,0,0,HB,POL,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,1,2017,August,25,2,2,2,2,0,BB,GBR,TA/TO,0,0,0,C,C,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,October,15,1,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,20,1,0,1,0,0,SC,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,May,24,0,1,2,0,0,BB,NOR,TA/TO,0,0,0,A,D,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2015,September,6,2,0,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,May,27,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,October,18,2,5,3,0,0,BB,IRL,TA/TO,0,0,0,E,E,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,June,26,2,2,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2015,October,10,1,1,2,0,0,BB,FIN,TA/TO,0,0,0,A,F,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,April,12,0,3,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,April,14,1,2,2,0,0,SC,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,March,14,0,5,2,0,0,HB,DEU,Direct,0,0,0,E,G,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,March,23,0,3,2,1,0,HB,ESP,Direct,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,March,15,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Canceled
City Hotel,1,2017,April,15,2,1,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,August,25,0,2,2,0,0,HB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,February,22,0,2,1,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2017,January,10,0,3,2,0,0,BB,PRT,TA/TO,0,0,0,A,C,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,October,28,0,2,3,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,1,2016,July,26,1,5,2,0,0,BB,SWE,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,June,5,1,2,2,2,0,BB,GBR,TA/TO,0,0,0,G,G,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,February,10,0,2,2,0,0,BB,MCO,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,May,14,1,1,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2016,January,5,0,1,1,0,0,BB,NOR,Direct,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,February,5,2,5,1,0,0,BB,MAR,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,1,2016,March,18,2,7,2,2,0,BB,PRT,TA/TO,0,0,0,G,G,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,February,24,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2017,March,21,2,5,1,0,0,BB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,March,25,2,3,2,0,0,BB,AUS,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,February,20,1,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2017,August,24,0,2,2,0,0,SC,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,November,19,0,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,E,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2016,October,11,0,1,2,0,0,SC,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2015,November,18,0,4,2,0,0,BB,FRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,August,31,2,5,2,0,0,BB,GBR,Direct,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,February,27,1,2,2,0,0,BB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,18,0,1,2,1,0,BB,FRA,TA/TO,0,0,0,A,F,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,February,4,1,1,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,No Deposit,0,Transient,1,Check-Out
City Hotel,1,2017,April,23,1,0,2,0,0,BB,PRT,Direct,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2015,October,2,0,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,May,11,0,3,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2015,September,9,2,7,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2017,August,29,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2016,April,4,1,3,2,0,0,BB,PRT,Direct,0,0,0,A,A,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2017,July,31,2,5,2,0,0,BB,ITA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,February,8,1,2,2,0,0,BB,PRT,TA/TO,0,1,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,April,6,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2017,April,14,0,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,March,14,0,2,2,0,0,BB,AUT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,December,9,0,2,1,0,0,BB,FRA,Corporate,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,April,2,2,1,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,August,23,1,0,1,0,0,BB,AGO,Direct,0,0,0,D,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,July,5,0,2,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,July,29,0,1,2,0,0,BB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,January,21,0,1,2,0,0,BB,PRT,Direct,0,0,0,D,E,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2015,September,18,0,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2017,July,6,0,3,3,0,0,BB,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2015,August,1,2,3,2,2,0,HB,PRT,Direct,0,0,0,C,C,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2017,June,24,2,5,2,0,1,HB,PRT,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,June,8,0,3,2,0,0,BB,RUS,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,October,3,2,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2016,November,4,1,2,2,0,0,SC,DNK,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2015,December,4,2,6,2,0,0,BB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Contract,1,Check-Out
City Hotel,0,2016,May,25,1,4,2,0,0,BB,USA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2015,August,8,0,1,2,0,0,BB,ESP,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,February,2,0,1,2,0,0,SC,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,No-Show
City Hotel,0,2017,August,9,0,1,1,0,0,BB,ESP,Corporate,0,0,0,A,C,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,October,31,2,5,2,0,0,BB,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,1,2017,January,23,1,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2015,September,28,1,5,2,0,0,BB,MOZ,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,October,3,2,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2015,October,9,0,1,1,0,0,BB,PRT,Corporate,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,February,19,0,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,April,20,0,3,2,0,0,HB,FRA,TA/TO,0,0,0,E,E,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,September,21,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,June,17,1,1,2,0,0,BB,ESP,Direct,0,0,0,A,C,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,March,16,0,1,1,0,0,BB,PRT,Corporate,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,March,27,1,2,2,0,0,BB,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2016,June,22,1,4,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2017,January,5,0,3,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,May,28,2,4,1,0,0,BB,AGO,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,May,21,2,4,2,0,0,BB,FRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,1,Check-Out
Resort Hotel,0,2016,March,24,0,3,2,0,0,Undefined,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,May,5,0,3,2,0,0,HB,FRA,TA/TO,0,0,0,A,D,No Deposit,236,Transient-Party,0,Check-Out
Resort Hotel,0,2016,November,29,0,1,2,0,0,BB,PRT,Corporate,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,December,23,0,4,2,0,0,BB,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,May,4,0,3,2,0,0,BB,AUS,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,November,16,1,4,2,0,0,SC,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,June,30,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,G,G,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2017,January,1,2,4,2,2,0,BB,CHE,Direct,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,January,25,0,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,November,23,1,2,1,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,May,24,0,2,2,0,0,HB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,1,2015,December,5,2,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,No-Show
Resort Hotel,0,2016,February,17,0,1,1,0,0,BB,PRT,Corporate,1,0,1,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,June,7,0,1,1,0,0,BB,PRT,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,September,7,1,3,2,0,0,BB,DEU,TA/TO,0,0,0,D,D,No Deposit,0,Group,0,Check-Out
City Hotel,1,2017,April,27,2,3,2,0,0,SC,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,July,4,0,4,2,0,0,BB,BRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,December,19,1,0,1,0,0,BB,ESP,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,May,8,1,1,2,0,0,BB,DEU,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,October,8,2,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2016,March,23,2,4,2,1,0,BB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,April,13,0,2,2,1,0,SC,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,August,16,1,0,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2015,September,22,0,2,1,0,0,HB,ITA,TA/TO,0,0,0,A,A,No Deposit,65,Transient-Party,0,Check-Out
City Hotel,1,2016,April,22,2,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,48,Transient-Party,0,Canceled
City Hotel,0,2017,February,4,2,2,2,0,0,BB,ESP,Direct,0,0,0,A,A,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2017,April,24,1,3,2,0,0,BB,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,1,2017,August,3,3,8,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,August,1,1,2,3,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,July,26,2,4,2,0,0,HB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2017,April,18,0,1,1,0,0,BB,PRT,Corporate,0,0,3,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,July,28,0,3,3,0,0,BB,DEU,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,October,26,1,2,2,0,0,BB,FRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,December,26,1,4,2,0,0,HB,ESP,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,January,19,0,3,1,0,0,SC,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2016,September,20,0,3,3,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,February,19,0,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,B,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2017,April,23,2,5,1,0,0,HB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,October,10,0,0,2,0,0,BB,PRT,TA/TO,1,0,0,A,K,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,December,29,3,8,2,0,0,BB,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,March,19,2,3,2,0,0,BB,ESP,Direct,0,0,0,F,F,No Deposit,0,Transient,1,Check-Out
Resort Hotel,0,2016,June,12,2,5,3,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,December,11,2,5,2,0,0,BB,GBR,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,April,5,0,2,2,0,0,BB,PRT,Direct,0,0,0,D,D,No Deposit,0,Transient,1,Check-Out
Resort Hotel,0,2015,October,6,2,5,2,0,1,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,November,4,0,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,December,6,0,4,3,0,0,BB,ESP,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2015,October,15,0,3,1,0,0,BB,GBR,Direct,0,0,0,A,D,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,June,24,0,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,61,Transient,0,Check-Out
Resort Hotel,0,2017,February,4,0,1,2,0,1,HB,ESP,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,November,5,0,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2017,March,16,1,3,2,0,0,BB,GBR,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,October,26,1,1,2,0,0,BB,PRT,TA/TO,0,1,0,A,A,Non Refund,0,Contract,0,Canceled
Resort Hotel,0,2015,September,11,2,5,2,0,0,BB,IRL,TA/TO,0,0,0,A,A,No Deposit,0,Contract,0,Check-Out
Resort Hotel,0,2017,April,14,1,2,2,0,0,BB,PRT,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2017,July,6,2,3,2,0,0,BB,CN,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,0,2017,April,17,1,4,2,1,0,HB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,November,20,0,2,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2015,July,8,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2016,May,19,3,8,2,0,0,FB,CN,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,April,6,0,1,1,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2015,October,9,1,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,0,2015,August,7,0,1,2,0,1,BB,PRT,TA/TO,0,0,0,A,B,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,September,1,1,3,2,0,0,BB,SWE,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2017,April,3,1,0,1,0,0,BB,PRT,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,May,7,1,1,2,0,0,BB,GBR,Direct,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,August,4,2,5,3,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2016,August,7,4,10,2,2,0,BB,FRA,TA/TO,0,0,0,G,G,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,June,24,0,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,D,No Deposit,61,Transient-Party,0,Check-Out
City Hotel,1,2015,August,14,0,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,0,2017,June,19,1,2,1,0,0,BB,IRL,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,July,1,0,2,2,0,0,SC,RUS,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,No-Show
Resort Hotel,0,2016,November,30,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,D,No Deposit,0,Transient,1,Check-Out
City Hotel,1,2016,November,3,0,3,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,1,2015,August,23,2,5,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2015,October,22,1,3,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Contract,0,Check-Out
City Hotel,0,2016,December,10,1,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,C,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2015,September,5,2,5,2,0,0,BB,PRT,Direct,0,0,0,G,G,No Deposit,0,Transient,0,No-Show
Resort Hotel,0,2016,March,23,0,1,1,1,0,BB,PRT,Direct,1,0,5,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,August,5,0,1,3,0,0,BB,FRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,September,2,0,3,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,August,25,0,2,2,0,0,HB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,September,11,1,0,2,0,0,SC,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,October,6,0,3,1,0,0,BB,PRT,TA/TO,1,1,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2016,November,9,0,0,1,0,0,BB,PRT,TA/TO,1,0,0,A,I,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,June,17,0,1,2,1,0,HB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,1,2015,November,27,0,2,2,0,0,BB,PRT,Direct,0,1,0,D,D,No Deposit,0,Transient-Party,0,Canceled
City Hotel,1,2017,May,30,0,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
